"No.","Time","Source","Destination","Protocol","Length","Info"
"406","8.994810000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34516 [ACK] Seq=1 Ack=618 Win=32256 Len=0 TSval=278292 TSecr=278267"
"407","8.995950000","10.0.0.1","10.0.0.2","TCP","95","[TCP segment of a reassembled PDU]"
"408","8.995953000","10.0.0.1","10.0.0.2","HTTP","381","HTTP/1.0 404 File not found  (text/html)"
"409","9.147303000","10.0.0.2","10.0.0.1","TCP","66","34516 > irdmi [ACK] Seq=618 Ack=30 Win=29696 Len=0 TSval=278317 TSecr=278292"
"410","9.148271000","10.0.0.2","10.0.0.1","TCP","66","34516 > irdmi [FIN, ACK] Seq=618 Ack=346 Win=32256 Len=0 TSval=278318 TSecr=278292"
"411","9.149988000","10.0.0.2","10.0.0.1","TCP","74","34518 > irdmi [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=278318 TSecr=0 WS=512"
"412","9.198721000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34516 [ACK] Seq=346 Ack=619 Win=32256 Len=0 TSval=278343 TSecr=278318"
"413","9.200053000","10.0.0.1","10.0.0.2","TCP","74","irdmi > 34518 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=278343 TSecr=278318 WS=512"
"414","9.352037000","10.0.0.2","10.0.0.1","TCP","66","34518 > irdmi [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=278369 TSecr=278343"
"415","9.352039000","10.0.0.2","10.0.0.1","HTTP","680","GET /Course%20Outlines%20-%20Electrical%20and%20Computer%20Engineering%20-%20Faculty%20of%20Engineering%20-%20Western%20University_files/jquery.ui.timepicker.js.download HTTP/1.1 "
"416","9.402329000","10.0.0.1","10.0.0.2","TCP","66","irdmi > 34518 [ACK] Seq=1 Ack=615 Win=32256 Len=0 TSval=278394 TSecr=278369"
"417","9.403787000","10.0.0.1","10.0.0.2","TCP","95","[TCP segment of a reassembled PDU]"
"418","9.404757000","10.0.0.1","10.0.0.2","HTTP","381","HTTP/1.0 404 File not found  (text/html)"
